school_section,cca_grouping_desc,cca_generic_name,cca_customized_name,school_id
PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,INDIAN DANCE,186
PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,MALAY DANCE,186
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART AND CRAFTS,186
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,MODERN DANCE,186
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na,187
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na,187
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,187
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,187
SECONDARY,PHYSICAL SPORTS,FOOTBALL,na,187
SECONDARY,PHYSICAL SPORTS,SOFTBALL,na,187
SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na,187
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,187
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,187
SECONDARY,UNIFORMED GROUPS,SCOUTS,na,187
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na,187
SECONDARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na,187
SECONDARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na,187
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,187
SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na,187
SECONDARY,CLUBS AND SOCIETIES,MEDIA RESOURCE LIBRARY,na,187
PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na,188
PRIMARY,PHYSICAL SPORTS,WUSHU,Wushu,188
PRIMARY,PHYSICAL SPORTS,FLOORBALL,Floorball,188
PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),na,188
PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,GUZHENG ENSEMBLE,188
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na,188
PRIMARY,CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING",EL DT,188
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),InfoComm and Media Club,188
PRIMARY,PHYSICAL SPORTS,BADMINTON,Badminton,188
PRIMARY,PHYSICAL SPORTS,FOOTBALL,Football,188
PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,Table Tennis,188
PRIMARY,UNIFORMED GROUPS,SCOUTS,Scouts,188
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),Brownies,188
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,CHINESE ORCHESTRA,188
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,Choir,188
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,CHINESE DANCE,188
PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,INDIAN DANCE,188
PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,MALAY DANCE,188
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,189
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,189
SECONDARY,PHYSICAL SPORTS,WUSHU,na,189
SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,VOLLEYBALL (GIRLS),189
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,189
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,189
SECONDARY,UNIFORMED GROUPS,SCOUTS,SCOUTS (BOYS),189
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),NCC (LAND) (BOYS),189
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,CHINESE ORCHESTRA,189
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,189
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ENGLISH DRAMA,189
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,CONCERT BAND,189
SECONDARY,VISUAL AND PERFORMING ARTS,POP AND JAZZ,JAM BAND,189
SECONDARY,VISUAL AND PERFORMING ARTS,PHOTOGRAPHY,PHOTOGRAPHY CLUB,189
SECONDARY,CLUBS AND SOCIETIES,ROBOTICS,na,189
SECONDARY,PHYSICAL SPORTS,OUTDOOR ADVENTURE,na,189
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,189
SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,Art Club,189
SECONDARY,CLUBS AND SOCIETIES,INTERNATIONAL CHESS,na,189
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na,189
PRIMARY,PHYSICAL SPORTS,BADMINTON,na,190
PRIMARY,PHYSICAL SPORTS,BASKETBALL,na,190
PRIMARY,PHYSICAL SPORTS,FOOTBALL,FOOTBALL,190
PRIMARY,PHYSICAL SPORTS,WUSHU,na,190
PRIMARY,UNIFORMED GROUPS,SCOUTS,na,190
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),na,190
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,190
PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,GUITAR ENSEMBLE,190
PRIMARY,VISUAL AND PERFORMING ARTS,STRING ENSEMBLE,VIOLIN,190
PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na,190
PRIMARY,VISUAL AND PERFORMING ARTS,TAP DANCE,TAP DANCE,190
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,VISUAL ART,190
PRIMARY,VISUAL AND PERFORMING ARTS,CERAMICS,CERAMICS,190
PRIMARY,CLUBS AND SOCIETIES,MEDIA RESOURCE LIBRARY,na,190
PRIMARY,PHYSICAL SPORTS,FLOORBALL,na,191
PRIMARY,UNIFORMED GROUPS,BOYS' BRIGADE,na,191
PRIMARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na,191
PRIMARY,UNIFORMED GROUPS,SCOUTS,CUB SCOUTS,191
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,191
PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,GUZHENG,191
PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,DRAMA,191
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,CREATIVE HANDS,191
PRIMARY,PHYSICAL SPORTS,FOOTBALL,SOCCER,191
PRIMARY,PHYSICAL SPORTS,OUTDOOR ADVENTURE,na,191
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),INFOTECH CLUB,191
PRIMARY,PHYSICAL SPORTS,BASKETBALL,na,191
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,CHINESE DANCE,192
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,192
PRIMARY,CLUBS AND SOCIETIES,ENGLISH CULTURE AND LANGUAGE,EL LITERARY CLUB,192
PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,SCIENCE AND ENVIRONMENT CLUB,192
PRIMARY,PHYSICAL SPORTS,RUGBY,RUGBY,192
PRIMARY,PHYSICAL SPORTS,SOFTBALL,SOFTBALL,192
PRIMARY,UNIFORMED GROUPS,BOYS' BRIGADE,BOYS' BRIGADE,192
PRIMARY,UNIFORMED GROUPS,GIRLS' BRIGADE,GIRLS' BRIGADE,192
PRIMARY,UNIFORMED GROUPS,SCOUTS,SCOUTS,192
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,CHOIR,192
SECONDARY,PHYSICAL SPORTS,FOOTBALL,na,193
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,193
SECONDARY,PHYSICAL SPORTS,NETBALL,na,193
SECONDARY,OTHERS,STUDENT LEADERSHIP (PREFECT),na,193
SECONDARY,PHYSICAL SPORTS,OUTDOOR ADVENTURE,na,193
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,SYMPHONIC BAND,193
SECONDARY,CLUBS AND SOCIETIES,COMMUNITY SERVICE,na,193
SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,ATHLETICS,193
SECONDARY,PHYSICAL SPORTS,GOLF,na,193
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,193
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,193
SECONDARY,UNIFORMED GROUPS,ST JOHN BRIGADE,na,193
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na,193
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,193
SECONDARY,VISUAL AND PERFORMING ARTS,STRING ENSEMBLE,na,193
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,193
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na,193
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,DRAMA CLUB,193
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFOCOMM TECHNOLOGY,193
SECONDARY,OTHERS,STUDENT LEADERSHIP (COUNCIL),na,194
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,194
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,194
SECONDARY,PHYSICAL SPORTS,FLOORBALL,na,194
SECONDARY,UNIFORMED GROUPS,BOYS' BRIGADE,na,194
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,194
SECONDARY,UNIFORMED GROUPS,RED CROSS YOUTH,na,194
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (AIR),na,194
SECONDARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na,194
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,194
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,DRAMA CLUB,194
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,194
SECONDARY,CLUBS AND SOCIETIES,AERO-MODELLING,NORTHBROOKS YOUTH FLYING CLUB,194
SECONDARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,ENVIRONMENTAL ART CLUB,194
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFOCOMM CLUB,194
PRIMARY,PHYSICAL SPORTS,BASKETBALL,na,195
PRIMARY,PHYSICAL SPORTS,NETBALL,na,195
PRIMARY,PHYSICAL SPORTS,FOOTBALL,na,195
PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,ATHLETICS,195
PRIMARY,PHYSICAL SPORTS,WUSHU,na,195
PRIMARY,PHYSICAL SPORTS,SILAT,na,195
PRIMARY,UNIFORMED GROUPS,SCOUTS,CUB SCOUTS,195
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),BROWNIES,195
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,195
PRIMARY,VISUAL AND PERFORMING ARTS,STRING ENSEMBLE,STRING ENSEMBLE,195
PRIMARY,VISUAL AND PERFORMING ARTS,HANDBELL ENSEMBLE,HANDBELL ENSEMBLE,195
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,CHINESE CULTURAL DANCE,195
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART & CRAFT CLUB,195
PRIMARY,CLUBS AND SOCIETIES,INTERNATIONAL CHESS,CHESS CLUB,195
PRIMARY,CLUBS AND SOCIETIES,MEDIA RESOURCE LIBRARY,PACMRL LIBRARY CLUB,195
SECONDARY,PHYSICAL SPORTS,HOCKEY,na,196
SECONDARY,PHYSICAL SPORTS,NETBALL,na,196
SECONDARY,PHYSICAL SPORTS,WUSHU,na,196
SECONDARY,PHYSICAL SPORTS,FLOORBALL,na,196
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,196
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,196
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (AIR),na,196
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na,196
SECONDARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,GUZHENG ENSEMBLE,196
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,MULTI CULTURAL ARTISTE CLUB,196
SECONDARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,na,196
SECONDARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na,196
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,196
SECONDARY,VISUAL AND PERFORMING ARTS,PIPE BAND,na,196
SECONDARY,CLUBS AND SOCIETIES,DESIGN AND INNOVATION,HEART CLUB,196
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),"INFOCOMM CLUB (AVA, PHOTOGRAPHY & VIDEOGRAPHY)",196
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,196
SECONDARY,CLUBS AND SOCIETIES,FOOD AND CONSUMER EDUCATION,CLUB DE CUISINE,197
SECONDARY,CLUBS AND SOCIETIES,READING AND WRITING,RIPPLES CLUB,197
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,197
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,197
SECONDARY,PHYSICAL SPORTS,NETBALL,na,197
SECONDARY,PHYSICAL SPORTS,SEPAKTAKRAW,na,197
SECONDARY,PHYSICAL SPORTS,FOOTBALL,FOOTBALL,197
SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,na,197
SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na,197
SECONDARY,PHYSICAL SPORTS,FLOORBALL,na,197
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,197
SECONDARY,UNIFORMED GROUPS,NATIONAL CIVIL DEFENCE CADET CORPS,na,197
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE,197
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,MUSIC & PERFORMING ARTS,197
SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART & CRAFT CLUB,197
SECONDARY,CLUBS AND SOCIETIES,ENTREPRENEURSHIP,ENTREPRENEURSHIP CLUB,197
SECONDARY,CLUBS AND SOCIETIES,MEDIA RESOURCE AND IT CLUB,"IT, MEDIA & PHOTO CLUB",197
JUNIOR COLLEGE,PHYSICAL SPORTS,SEA SPORTS,na,200
SECONDARY,PHYSICAL SPORTS,OUTDOOR ADVENTURE,na,200
JUNIOR COLLEGE,PHYSICAL SPORTS,OUTDOOR ADVENTURE,na,200
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na,200
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na,200
SECONDARY,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,na,200
JUNIOR COLLEGE,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,na,200
SECONDARY,CLUBS AND SOCIETIES,ROBOTICS,na,200
JUNIOR COLLEGE,CLUBS AND SOCIETIES,ROBOTICS,na,200
SECONDARY,CLUBS AND SOCIETIES,CHESS CLUB - INTERNATIONAL,na,200
JUNIOR COLLEGE,CLUBS AND SOCIETIES,CHESS CLUB - INTERNATIONAL,na,200
SECONDARY,CLUBS AND SOCIETIES,CHINESE CHESS,na,200
JUNIOR COLLEGE,CLUBS AND SOCIETIES,CHINESE CHESS,na,200
SECONDARY,CLUBS AND SOCIETIES,CHINESE WEIQI,na,200
JUNIOR COLLEGE,CLUBS AND SOCIETIES,CHINESE WEIQI,na,200
SECONDARY,VISUAL AND PERFORMING ARTS,PHOTO AND VIDEO SOCIETY,na,200
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,PHOTO AND VIDEO SOCIETY,na,200
SECONDARY,CLUBS AND SOCIETIES,JOURNALISM,na,200
JUNIOR COLLEGE,CLUBS AND SOCIETIES,JOURNALISM,na,200
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,200
JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na,200
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,200
JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na,200
SECONDARY,PHYSICAL SPORTS,NETBALL,na,200
JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,na,200
SECONDARY,PHYSICAL SPORTS,FOOTBALL,na,200
JUNIOR COLLEGE,PHYSICAL SPORTS,FOOTBALL,na,200
SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,na,200
JUNIOR COLLEGE,PHYSICAL SPORTS,TRACK AND FIELD,na,200
SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na,200
JUNIOR COLLEGE,PHYSICAL SPORTS,TABLE TENNIS,na,200
SECONDARY,PHYSICAL SPORTS,TENNIS,na,200
JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na,200
SECONDARY,UNIFORMED GROUPS,ST JOHN BRIGADE,na,200
JUNIOR COLLEGE,UNIFORMED GROUPS,ST JOHN BRIGADE,na,200
SECONDARY,UNIFORMED GROUPS,SCOUTS,na,200
JUNIOR COLLEGE,UNIFORMED GROUPS,SCOUTS,na,200
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na,200
JUNIOR COLLEGE,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na,200
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na,200
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na,200
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,200
JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na,200
SECONDARY,CLUBS AND SOCIETIES,SINGAPORE YOUTH FLYING CLUB,na,200
JUNIOR COLLEGE,CLUBS AND SOCIETIES,SINGAPORE YOUTH FLYING CLUB,na,200
SECONDARY,PHYSICAL SPORTS,HOCKEY,HOCKEY (BOYS),203
SECONDARY,PHYSICAL SPORTS,NETBALL,NETBALL (GIRLS),203
SECONDARY,PHYSICAL SPORTS,FOOTBALL,FOOTBALL (BOYS),203
SECONDARY,PHYSICAL SPORTS,WUSHU,WUSHU (MIXED),203
SECONDARY,PHYSICAL SPORTS,FLOORBALL,FLOORBALL (BOYS & GIRLS),203
SECONDARY,UNIFORMED GROUPS,BOYS' BRIGADE,na,203
SECONDARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na,203
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,203
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (SEA),na,203
SECONDARY,UNIFORMED GROUPS,NATIONAL CIVIL DEFENCE CADET CORPS,na,203
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,Joaquim Chorale,203
SECONDARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,GUITAR ENSEMBLE,203
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE CLUB,203
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,DRAMA CLUB,203
SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,203
SECONDARY,PHYSICAL SPORTS,BASKETBALL,BASKETBALL (BOYS & GIRLS),203
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,203
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na,203
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,204
SECONDARY,PHYSICAL SPORTS,NETBALL,na,204
SECONDARY,PHYSICAL SPORTS,SWIMMING,na,204
SECONDARY,PHYSICAL SPORTS,WATER POLO,na,204
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,204
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na,204
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,204
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,204
SECONDARY,CLUBS AND SOCIETIES,AUDIO VISUAL AID,PA CLUB,204
SECONDARY,VISUAL AND PERFORMING ARTS,PHOTOGRAPHY,VISUAL ARTS CLUB,204
SECONDARY,CLUBS AND SOCIETIES,ENTREPRENEURSHIP,na,204
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),MULTIMEDIA COMMUNICATIONS CLUB,204
PRIMARY,PHYSICAL SPORTS,BADMINTON,na,205
PRIMARY,PHYSICAL SPORTS,BASKETBALL,na,205
PRIMARY,PHYSICAL SPORTS,NETBALL,na,205
PRIMARY,PHYSICAL SPORTS,FOOTBALL,na,205
PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na,205
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,205
PRIMARY,VISUAL AND PERFORMING ARTS,STRING ENSEMBLE,na,205
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,205
PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na,205
PRIMARY,OTHERS,STUDENT LEADERSHIP (PREFECT),STUDENT COUNCIL,205
PRIMARY,UNIFORMED GROUPS,RED CROSS YOUTH,na,205
PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na,205
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na,205
PRIMARY,CLUBS AND SOCIETIES,PHYSICAL SCIENCE,na,205
PRIMARY,OTHERS,STUDENT LEADERSHIP (PREFECT),PREFECTORIAL BOARD 2021,206
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,CREATIVE DANCE,206
PRIMARY,CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING",ELDDS - English,206
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFOCOM CLUB,206
PRIMARY,PHYSICAL SPORTS,HOCKEY,HOCKEY,206
PRIMARY,PHYSICAL SPORTS,NETBALL,NETBALL,206
PRIMARY,PHYSICAL SPORTS,FOOTBALL,FOOTBALL,206
PRIMARY,PHYSICAL SPORTS,WUSHU,WUSHU,206
PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,VOLLEYBALL,206
PRIMARY,UNIFORMED GROUPS,SCOUTS,SCOUTS,206
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,SHOW CHOIR,206
PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,GUZHENG,206
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART AND CRAFT CLUB,206
SECONDARY,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,MEDIA COMMUNICATIONS CLUB,207
SECONDARY,PHYSICAL SPORTS,FENCING,na,207
SECONDARY,PHYSICAL SPORTS,NETBALL,na,207
SECONDARY,PHYSICAL SPORTS,SOFTBALL,na,207
SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na,207
SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,na,207
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,207
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,207
SECONDARY,UNIFORMED GROUPS,ST JOHN BRIGADE,na,207
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na,207
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,CHINESE INSTRUMENTAL ORCHESTRA,207
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,207
SECONDARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na,207
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,207
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na,207
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,207
SECONDARY,CLUBS AND SOCIETIES,AUDIO VISUAL AID,AUDIO & VIDEO/ PA CLUB,207
PRIMARY,PHYSICAL SPORTS,NETBALL,na,208
PRIMARY,PHYSICAL SPORTS,FOOTBALL,na,208
PRIMARY,PHYSICAL SPORTS,TAEKWONDO,na,208
PRIMARY,PHYSICAL SPORTS,WUSHU,na,208
PRIMARY,PHYSICAL SPORTS,FLOORBALL,na,208
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,208
PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na,208
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),Infocom Club,208
SECONDARY,PHYSICAL SPORTS,BADMINTON,BADMINTON (BOYS),209
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,209
SECONDARY,PHYSICAL SPORTS,NETBALL,NETBALL (GIRLS),209
SECONDARY,PHYSICAL SPORTS,FOOTBALL,FOOTBALL (BOYS),209
SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,TABLE TENNIS (BOYS),209
SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,na,209
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,209
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na,209
SECONDARY,UNIFORMED GROUPS,NATIONAL CIVIL DEFENCE CADET CORPS,na,209
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na,209
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,209
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE,209
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na,209
PRIMARY,PHYSICAL SPORTS,RHYTHMIC GYMNASTICS,na,210
PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),SPORTS CLUB,210
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,INTERNATIONAL DANCE,210
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),MEDIA CLUB,210
PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,SCIENCE-ENVIRONMENT CLUB,210
PRIMARY,VISUAL AND PERFORMING ARTS,HANDBELL ENSEMBLE,HANDBELL ENSEMBLE,210
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,210
PRIMARY,PHYSICAL SPORTS,BADMINTON,na,210
PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na,210
PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na,210
PRIMARY,PHYSICAL SPORTS,ROPE SKIPPING,na,210
PRIMARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na,210
PRIMARY,VISUAL AND PERFORMING ARTS,ANGKLUNG/KULINTANG ENSEMBLE,ANGKLUNG ENSEMBLE,210
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,210
PRIMARY,VISUAL AND PERFORMING ARTS,STRING ENSEMBLE,STRING ENSEMBLE,210
SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na,211
SECONDARY,UNIFORMED GROUPS,ST JOHN BRIGADE,ST. JOHN BRIGADE,211
SECONDARY,PHYSICAL SPORTS,BADMINTON,na,211
SECONDARY,PHYSICAL SPORTS,NETBALL,na,211
